account_id,district_id,Account_type,New_Date,New_Frequency,Card_Assigned
21,54,Salary account,2020-12-06,Monthly Issuance,Silver
1650,39,Savings account,2020-12-06,Monthly Issuance,Silver
800,11,Savings account,2020-12-06,Monthly Issuance,Silver
3415,75,NRI account,2020-12-06,Monthly Issuance,Silver
2918,15,NRI account,2020-12-05,Issuance After Transaction,Gold
4140,28,NRI account,2020-12-05,Monthly Issuance,Silver
1960,31,NRI account,2020-12-04,Monthly Issuance,Silver
1049,18,NRI account,2020-12-04,Monthly Issuance,Silver
298,35,Savings account,2020-12-02,Monthly Issuance,Silver
1717,67,NRI account,2020-12-02,Monthly Issuance,Silver
10005,64,Salary account,2020-11-29,Monthly Issuance,Silver
4386,51,Salary account,2020-11-29,Weekly Issuance,Diamond
1868,16,Savings account,2020-11-29,Weekly Issuance,Diamond
232,45,Savings account,2020-11-29,Monthly Issuance,Silver
1798,46,Savings account,2020-11-28,Monthly Issuance,Silver
421,75,NRI account,2020-11-27,Monthly Issuance,Silver
3715,74,Savings account,2020-11-27,Monthly Issuance,Silver
934,9,Savings account,2020-11-27,Monthly Issuance,Silver
3333,44,Salary account,2020-11-27,Monthly Issuance,Silver
215,31,Salary account,2020-11-25,Monthly Issuance,Silver
1523,52,NRI account,2020-11-24,Issuance After Transaction,Gold
3102,33,Savings account,2020-11-23,Monthly Issuance,Silver
295,66,NRI account,2020-11-23,Monthly Issuance,Silver
2979,10,Savings account,2020-11-22,Monthly Issuance,Silver
2850,57,Savings account,2020-11-22,Monthly Issuance,Silver
2832,12,Salary account,2020-11-22,Monthly Issuance,Silver
3105,37,Savings account,2020-11-21,Monthly Issuance,Silver
2162,50,NRI account,2020-11-21,Monthly Issuance,Silver
1125,1,Savings account,2020-11-21,Weekly Issuance,Diamond
3382,23,Savings account,2020-11-20,Weekly Issuance,Diamond
2125,43,NRI account,2020-11-20,Weekly Issuance,Diamond
3396,1,Salary account,2020-11-20,Monthly Issuance,Silver
3365,11,Savings account,2020-11-18,Monthly Issuance,Silver
2693,17,NRI account,2020-11-17,Monthly Issuance,Silver
1866,4,Savings account,2020-11-17,Monthly Issuance,Silver
149,43,NRI account,2020-11-16,Monthly Issuance,Silver
3082,33,NRI account,2020-11-16,Monthly Issuance,Silver
3156,1,Salary account,2020-11-16,Issuance After Transaction,Gold
2438,71,Salary account,2020-11-16,Monthly Issuance,Silver
1833,54,Salary account,2020-11-15,Monthly Issuance,Silver
2221,58,NRI account,2020-11-15,Monthly Issuance,Silver
2658,27,Salary account,2020-11-14,Monthly Issuance,Silver
2721,74,NRI account,2020-11-14,Monthly Issuance,Silver
2920,73,Savings account,2020-11-13,Monthly Issuance,Silver
566,8,Savings account,2020-11-13,Monthly Issuance,Silver
1245,68,NRI account,2020-11-12,Monthly Issuance,Silver
1348,55,Savings account,2020-11-12,Monthly Issuance,Silver
3423,11,Salary account,2020-11-10,Monthly Issuance,Silver
2831,1,Savings account,2020-11-10,Monthly Issuance,Silver
2211,61,Salary account,2020-11-10,Issuance After Transaction,Gold
3360,71,Salary account,2020-11-10,Monthly Issuance,Silver
952,41,Savings account,2020-11-09,Monthly Issuance,Silver
696,54,NRI account,2020-11-09,Monthly Issuance,Silver
2998,21,Salary account,2020-11-09,Monthly Issuance,Silver
867,60,NRI account,2020-11-09,Monthly Issuance,Silver
1208,4,Savings account,2020-11-09,Monthly Issuance,Silver
2391,2,NRI account,2020-11-07,Monthly Issuance,Silver
1140,49,Salary account,2020-11-07,Monthly Issuance,Silver
644,4,NRI account,2020-11-06,Monthly Issuance,Silver
2402,18,NRI account,2020-11-06,Monthly Issuance,Silver
3395,16,NRI account,2020-11-05,Monthly Issuance,Silver
2296,29,Savings account,2020-11-05,Monthly Issuance,Silver
10613,55,Salary account,2020-11-04,Monthly Issuance,Silver
606,75,NRI account,2020-11-04,Monthly Issuance,Silver
9227,51,NRI account,2020-11-04,Monthly Issuance,Silver
1723,70,Salary account,2020-11-04,Monthly Issuance,Silver
3404,33,Savings account,2020-11-04,Monthly Issuance,Silver
1657,12,Salary account,2020-11-04,Monthly Issuance,Silver
639,1,NRI account,2020-11-03,Monthly Issuance,Silver
3325,11,NRI account,2020-11-03,Monthly Issuance,Silver
1703,72,Savings account,2020-11-02,Monthly Issuance,Silver
3598,76,Savings account,2020-11-02,Monthly Issuance,Silver
782,42,Salary account,2020-10-30,Monthly Issuance,Silver
2784,40,NRI account,2020-10-30,Monthly Issuance,Silver
671,60,Salary account,2020-10-29,Monthly Issuance,Silver
643,64,Savings account,2020-10-28,Monthly Issuance,Silver
1340,52,NRI account,2020-10-28,Monthly Issuance,Silver
2703,61,Savings account,2020-10-28,Monthly Issuance,Silver
2413,33,Savings account,2020-10-27,Monthly Issuance,Silver
3963,9,Salary account,2020-10-27,Monthly Issuance,Silver
876,4,Salary account,2020-10-26,Monthly Issuance,Silver
1172,6,Savings account,2020-10-25,Monthly Issuance,Silver
398,69,NRI account,2020-10-24,Monthly Issuance,Silver
2174,18,Savings account,2020-10-24,Monthly Issuance,Silver
3705,20,Salary account,2020-10-24,Monthly Issuance,Silver
1209,23,NRI account,2020-10-23,Monthly Issuance,Silver
2371,15,Salary account,2020-10-23,Weekly Issuance,Diamond
852,57,Savings account,2020-10-23,Monthly Issuance,Silver
2152,22,Savings account,2020-10-23,Monthly Issuance,Silver
3857,54,Salary account,2020-10-22,Monthly Issuance,Silver
156,64,Savings account,2020-10-22,Monthly Issuance,Silver
3922,68,NRI account,2020-10-22,Monthly Issuance,Silver
2910,68,NRI account,2020-10-21,Monthly Issuance,Silver
2756,24,Savings account,2020-10-21,Monthly Issuance,Silver
1572,72,NRI account,2020-10-21,Monthly Issuance,Silver
1615,1,Salary account,2020-10-20,Monthly Issuance,Silver
2311,28,NRI account,2020-10-19,Monthly Issuance,Silver
2556,46,Savings account,2020-10-19,Monthly Issuance,Silver
961,1,Savings account,2020-10-18,Monthly Issuance,Silver
2579,24,Savings account,2020-10-18,Monthly Issuance,Silver
3919,34,NRI account,2020-10-18,Monthly Issuance,Silver
3875,44,NRI account,2020-10-18,Monthly Issuance,Silver
550,24,Savings account,2020-10-17,Monthly Issuance,Silver
3324,3,Salary account,2020-10-17,Monthly Issuance,Silver
1061,44,Salary account,2020-10-17,Monthly Issuance,Silver
2215,48,Salary account,2020-10-17,Monthly Issuance,Silver
2053,5,NRI account,2020-10-16,Monthly Issuance,Silver
3561,33,Salary account,2020-10-15,Monthly Issuance,Silver
1807,21,NRI account,2020-10-15,Monthly Issuance,Silver
11327,7,NRI account,2020-10-15,Monthly Issuance,Silver
2231,2,Salary account,2020-10-14,Monthly Issuance,Silver
966,15,Salary account,2020-10-14,Monthly Issuance,Silver
1968,16,NRI account,2020-10-14,Weekly Issuance,Diamond
2879,15,NRI account,2020-10-14,Monthly Issuance,Silver
3023,35,Savings account,2020-10-14,Monthly Issuance,Silver
1279,28,NRI account,2020-10-13,Monthly Issuance,Silver
502,1,Salary account,2020-10-13,Monthly Issuance,Silver
1506,51,Savings account,2020-10-13,Monthly Issuance,Silver
5708,64,NRI account,2020-10-12,Weekly Issuance,Diamond
7049,69,NRI account,2020-10-12,Monthly Issuance,Silver
121,55,NRI account,2020-10-11,Monthly Issuance,Silver
1727,9,Savings account,2020-10-11,Monthly Issuance,Silver
2097,46,Savings account,2020-10-11,Monthly Issuance,Silver
133,64,Savings account,2020-10-11,Weekly Issuance,Diamond
2897,51,Savings account,2020-10-11,Monthly Issuance,Silver
745,43,Salary account,2020-10-09,Monthly Issuance,Silver
3813,1,NRI account,2020-10-09,Monthly Issuance,Silver
1342,9,Savings account,2020-10-09,Monthly Issuance,Silver
2069,72,Savings account,2020-10-08,Monthly Issuance,Silver
205,1,Savings account,2020-10-08,Monthly Issuance,Silver
1150,29,Salary account,2020-10-08,Monthly Issuance,Silver
1608,26,Salary account,2020-10-08,Monthly Issuance,Silver
1494,1,NRI account,2020-10-08,Monthly Issuance,Silver
2272,48,Savings account,2020-10-08,Monthly Issuance,Silver
2634,45,Savings account,2020-10-08,Monthly Issuance,Silver
4143,55,Salary account,2020-10-07,Monthly Issuance,Silver
2133,11,Salary account,2020-10-07,Monthly Issuance,Silver
3342,59,NRI account,2020-10-06,Monthly Issuance,Silver
2715,42,Salary account,2020-10-06,Monthly Issuance,Silver
1596,70,NRI account,2020-10-05,Monthly Issuance,Silver
4116,6,NRI account,2020-10-05,Monthly Issuance,Silver
3401,38,Salary account,2020-10-04,Weekly Issuance,Diamond
2036,70,NRI account,2020-10-03,Monthly Issuance,Silver
6866,14,Savings account,2020-10-02,Monthly Issuance,Silver
4132,36,Savings account,2020-10-02,Monthly Issuance,Silver
2136,75,Savings account,2020-10-02,Monthly Issuance,Silver
2370,51,Savings account,2020-10-01,Monthly Issuance,Silver
1379,47,NRI account,2020-10-01,Monthly Issuance,Silver
1313,45,NRI account,2020-10-01,Monthly Issuance,Silver
129,74,Savings account,2020-10-01,Monthly Issuance,Silver
2007,45,Savings account,2020-09-29,Monthly Issuance,Silver
1064,70,NRI account,2020-09-29,Monthly Issuance,Silver
7274,11,NRI account,2020-09-28,Monthly Issuance,Silver
3383,29,NRI account,2020-09-28,Monthly Issuance,Silver
2461,1,Salary account,2020-09-28,Monthly Issuance,Silver
3916,8,NRI account,2020-09-28,Monthly Issuance,Silver
2745,60,NRI account,2020-09-28,Monthly Issuance,Silver
10152,34,NRI account,2020-09-28,Monthly Issuance,Silver
2846,1,NRI account,2020-09-27,Monthly Issuance,Silver
1443,54,NRI account,2020-09-27,Monthly Issuance,Silver
1992,48,NRI account,2020-09-27,Monthly Issuance,Silver
755,38,NRI account,2020-09-27,Monthly Issuance,Silver
3106,12,Salary account,2020-09-26,Weekly Issuance,Diamond
2312,65,NRI account,2020-09-26,Monthly Issuance,Silver
177,1,NRI account,2020-09-26,Monthly Issuance,Silver
4128,64,Savings account,2020-09-26,Monthly Issuance,Silver
89,68,NRI account,2020-09-25,Monthly Issuance,Silver
4616,1,Salary account,2020-09-24,Monthly Issuance,Silver
3757,64,Savings account,2020-09-24,Monthly Issuance,Silver
2942,44,NRI account,2020-09-24,Monthly Issuance,Silver
1814,17,NRI account,2020-09-23,Monthly Issuance,Silver
1718,71,Salary account,2020-09-23,Monthly Issuance,Silver
16,12,Savings account,2020-09-23,Monthly Issuance,Silver
1101,4,Salary account,2020-09-22,Monthly Issuance,Silver
179,1,Savings account,2020-09-22,Weekly Issuance,Diamond
3610,1,NRI account,2020-09-22,Monthly Issuance,Silver
3463,38,Salary account,2020-09-21,Monthly Issuance,Silver
3103,1,NRI account,2020-09-21,Issuance After Transaction,Gold
1876,1,Savings account,2020-09-20,Monthly Issuance,Silver
2765,69,NRI account,2020-09-20,Monthly Issuance,Silver
387,72,Salary account,2020-09-19,Monthly Issuance,Silver
3300,71,NRI account,2020-09-19,Monthly Issuance,Silver
3657,62,NRI account,2020-09-19,Monthly Issuance,Silver
823,71,Savings account,2020-09-19,Monthly Issuance,Silver
5283,15,Savings account,2020-09-18,Monthly Issuance,Silver
1438,23,Salary account,2020-09-18,Weekly Issuance,Diamond
328,1,NRI account,2020-09-18,Monthly Issuance,Silver
118,68,NRI account,2020-09-18,Monthly Issuance,Silver
3603,3,Savings account,2020-09-17,Monthly Issuance,Silver
1872,61,NRI account,2020-09-17,Monthly Issuance,Silver
3671,21,NRI account,2020-09-17,Monthly Issuance,Silver
735,70,NRI account,2020-09-17,Monthly Issuance,Silver
3274,76,NRI account,2020-09-17,Monthly Issuance,Silver
5870,75,Salary account,2020-09-17,Monthly Issuance,Silver
1946,46,Savings account,2020-09-16,Monthly Issuance,Silver
402,68,Salary account,2020-09-14,Monthly Issuance,Silver
9156,18,Savings account,2020-09-14,Monthly Issuance,Silver
3987,25,Salary account,2020-09-14,Monthly Issuance,Silver
3852,20,NRI account,2020-09-14,Monthly Issuance,Silver
384,24,NRI account,2020-09-14,Weekly Issuance,Diamond
677,70,NRI account,2020-09-13,Monthly Issuance,Silver
6505,7,Savings account,2020-09-13,Monthly Issuance,Silver
1240,1,NRI account,2020-09-11,Monthly Issuance,Silver
1783,70,Salary account,2020-09-11,Monthly Issuance,Silver
7156,71,NRI account,2020-09-11,Monthly Issuance,Silver
1085,42,NRI account,2020-09-11,Monthly Issuance,Silver
2684,7,Salary account,2020-09-10,Monthly Issuance,Silver
2459,55,Savings account,2020-09-10,Monthly Issuance,Silver
2997,40,Salary account,2020-09-09,Monthly Issuance,Silver
10650,76,NRI account,2020-09-09,Monthly Issuance,Silver
1303,23,Salary account,2020-09-08,Monthly Issuance,Silver
783,1,NRI account,2020-09-08,Monthly Issuance,Silver
1729,53,NRI account,2020-09-08,Monthly Issuance,Silver
1790,70,NRI account,2020-09-08,Monthly Issuance,Silver
2351,74,Savings account,2020-09-08,Monthly Issuance,Silver
2480,35,NRI account,2020-09-07,Monthly Issuance,Silver
2444,76,Savings account,2020-09-07,Monthly Issuance,Silver
3516,36,Savings account,2020-09-07,Weekly Issuance,Diamond
178,59,Salary account,2020-09-06,Monthly Issuance,Silver
2079,55,NRI account,2020-09-06,Monthly Issuance,Silver
3444,53,Salary account,2020-09-04,Weekly Issuance,Diamond
1764,68,Savings account,2020-09-04,Monthly Issuance,Silver
4158,27,Salary account,2020-09-04,Monthly Issuance,Silver
585,4,NRI account,2020-09-04,Monthly Issuance,Silver
5698,1,NRI account,2020-09-04,Monthly Issuance,Silver
10243,44,NRI account,2020-09-03,Monthly Issuance,Silver
1026,20,Salary account,2020-09-03,Monthly Issuance,Silver
45,64,Salary account,2020-09-02,Monthly Issuance,Silver
2172,1,Salary account,2020-09-02,Monthly Issuance,Silver
909,30,NRI account,2020-09-02,Monthly Issuance,Silver
3950,48,Salary account,2020-09-01,Monthly Issuance,Silver
2142,42,Salary account,2020-09-01,Monthly Issuance,Silver
2492,73,Savings account,2020-09-01,Monthly Issuance,Silver
3901,12,NRI account,2020-08-30,Monthly Issuance,Silver
2422,27,Savings account,2020-08-29,Monthly Issuance,Silver
3556,58,Salary account,2020-08-29,Monthly Issuance,Silver
1154,5,Savings account,2020-08-29,Weekly Issuance,Diamond
2317,68,Savings account,2020-08-28,Monthly Issuance,Silver
3828,44,Salary account,2020-08-28,Monthly Issuance,Silver
3798,15,Salary account,2020-08-27,Monthly Issuance,Silver
859,13,NRI account,2020-08-26,Monthly Issuance,Silver
2394,62,Savings account,2020-08-23,Monthly Issuance,Silver
8639,46,Salary account,2020-08-22,Monthly Issuance,Silver
4003,25,Salary account,2020-08-22,Monthly Issuance,Silver
3537,45,Salary account,2020-08-22,Monthly Issuance,Silver
3070,56,Salary account,2020-08-21,Monthly Issuance,Silver
645,70,Savings account,2020-08-21,Monthly Issuance,Silver
1795,53,Savings account,2020-08-21,Monthly Issuance,Silver
2442,14,NRI account,2020-08-21,Monthly Issuance,Silver
2845,62,Salary account,2020-08-21,Monthly Issuance,Silver
1845,47,NRI account,2020-08-20,Monthly Issuance,Silver
1181,69,NRI account,2020-08-20,Monthly Issuance,Silver
2607,1,NRI account,2020-08-19,Monthly Issuance,Silver
653,27,NRI account,2020-08-19,Monthly Issuance,Silver
10799,76,Salary account,2020-08-19,Monthly Issuance,Silver
1567,10,NRI account,2020-08-19,Monthly Issuance,Silver
996,47,NRI account,2020-08-18,Monthly Issuance,Silver
37,20,Salary account,2020-08-18,Monthly Issuance,Silver
2829,66,Salary account,2020-08-18,Monthly Issuance,Silver
529,39,Savings account,2020-08-18,Monthly Issuance,Silver
1857,37,Savings account,2020-08-18,Monthly Issuance,Silver
9140,32,Salary account,2020-08-18,Monthly Issuance,Silver
2485,41,Salary account,2020-08-18,Monthly Issuance,Silver
1881,60,Savings account,2020-08-17,Monthly Issuance,Silver
2595,1,NRI account,2020-08-17,Monthly Issuance,Silver
13,76,Salary account,2020-08-17,Monthly Issuance,Silver
1355,1,Savings account,2020-08-16,Monthly Issuance,Silver
3062,17,Savings account,2020-08-15,Monthly Issuance,Silver
9433,59,Salary account,2020-08-14,Monthly Issuance,Silver
509,36,NRI account,2020-08-14,Monthly Issuance,Silver
1747,30,Salary account,2020-08-14,Monthly Issuance,Silver
2073,59,Savings account,2020-08-14,Monthly Issuance,Silver
3097,66,Savings account,2020-08-14,Monthly Issuance,Silver
792,3,Savings account,2020-08-13,Monthly Issuance,Silver
1043,1,NRI account,2020-08-13,Monthly Issuance,Silver
591,1,Savings account,2020-08-12,Monthly Issuance,Silver
5572,15,Salary account,2020-08-11,Monthly Issuance,Silver
3046,74,Savings account,2020-08-11,Monthly Issuance,Silver
2138,75,Salary account,2020-08-11,Monthly Issuance,Silver
1662,1,Salary account,2020-08-11,Monthly Issuance,Silver
386,1,Savings account,2020-08-11,Monthly Issuance,Silver
2776,23,Savings account,2020-08-10,Monthly Issuance,Silver
785,21,Savings account,2020-08-09,Weekly Issuance,Diamond
2338,59,Savings account,2020-08-08,Monthly Issuance,Silver
1319,56,Salary account,2020-08-08,Issuance After Transaction,Gold
311,50,NRI account,2020-08-08,Monthly Issuance,Silver
3293,1,Salary account,2020-08-08,Monthly Issuance,Silver
1648,40,Salary account,2020-08-08,Monthly Issuance,Silver
38,19,Salary account,2020-08-08,Weekly Issuance,Diamond
1434,70,Savings account,2020-08-08,Monthly Issuance,Silver
7437,19,Salary account,2020-08-08,Weekly Issuance,Diamond
4784,46,NRI account,2020-08-08,Monthly Issuance,Silver
2644,1,NRI account,2020-08-08,Monthly Issuance,Silver
307,26,Savings account,2020-08-07,Monthly Issuance,Silver
1951,23,NRI account,2020-08-07,Monthly Issuance,Silver
4445,47,Savings account,2020-08-07,Monthly Issuance,Silver
2000,5,Salary account,2020-08-06,Monthly Issuance,Silver
3724,16,Savings account,2020-08-06,Monthly Issuance,Silver
3281,1,Savings account,2020-08-06,Monthly Issuance,Silver
326,61,NRI account,2020-08-06,Monthly Issuance,Silver
1389,34,Salary account,2020-08-05,Monthly Issuance,Silver
1033,32,Savings account,2020-08-05,Monthly Issuance,Silver
2449,23,Salary account,2020-08-05,Monthly Issuance,Silver
2927,37,NRI account,2020-08-04,Monthly Issuance,Silver
4091,9,NRI account,2020-08-04,Monthly Issuance,Silver
6602,74,Salary account,2020-08-04,Monthly Issuance,Silver
2558,46,Savings account,2020-08-04,Monthly Issuance,Silver
3208,29,NRI account,2020-08-04,Monthly Issuance,Silver
4533,68,NRI account,2020-08-03,Monthly Issuance,Silver
3343,1,NRI account,2020-08-03,Monthly Issuance,Silver
3686,77,Salary account,2020-08-03,Monthly Issuance,Silver
3381,68,NRI account,2020-08-02,Monthly Issuance,Silver
1522,48,Salary account,2020-08-02,Monthly Issuance,Silver
41,72,Salary account,2020-08-02,Monthly Issuance,Silver
1950,70,Salary account,2020-08-01,Monthly Issuance,Silver
811,14,NRI account,2020-08-01,Weekly Issuance,Diamond
3185,45,NRI account,2020-07-29,Monthly Issuance,Silver
5758,44,NRI account,2020-07-28,Monthly Issuance,Silver
1776,36,Savings account,2020-07-27,Monthly Issuance,Silver
547,24,Savings account,2020-07-27,Monthly Issuance,Silver
2197,46,Salary account,2020-07-26,Monthly Issuance,Silver
2587,1,Salary account,2020-07-25,Monthly Issuance,Silver
3346,1,Salary account,2020-07-25,Monthly Issuance,Silver
1454,46,NRI account,2020-07-25,Monthly Issuance,Silver
2196,11,Savings account,2020-07-24,Monthly Issuance,Silver
2646,6,Salary account,2020-07-24,Monthly Issuance,Silver
2722,69,Salary account,2020-07-24,Monthly Issuance,Silver
2679,67,Salary account,2020-07-24,Monthly Issuance,Silver
1794,74,Salary account,2020-07-23,Monthly Issuance,Silver
801,16,NRI account,2020-07-23,Monthly Issuance,Silver
3057,9,Salary account,2020-07-23,Monthly Issuance,Silver
5290,34,Salary account,2020-07-21,Monthly Issuance,Silver
2316,1,Savings account,2020-07-21,Monthly Issuance,Silver
611,46,Salary account,2020-07-21,Monthly Issuance,Silver
1890,1,NRI account,2020-07-20,Weekly Issuance,Diamond
2204,9,NRI account,2020-07-20,Monthly Issuance,Silver
970,18,Savings account,2020-07-20,Monthly Issuance,Silver
211,28,Savings account,2020-07-19,Monthly Issuance,Silver
1432,27,NRI account,2020-07-19,Monthly Issuance,Silver
2369,49,Salary account,2020-07-19,Monthly Issuance,Silver
3867,1,Savings account,2020-07-19,Monthly Issuance,Silver
680,17,Savings account,2020-07-18,Monthly Issuance,Silver
284,54,Savings account,2020-07-18,Monthly Issuance,Silver
1027,68,Salary account,2020-07-18,Monthly Issuance,Silver
1995,54,Savings account,2020-07-18,Monthly Issuance,Silver
2183,54,Salary account,2020-07-17,Monthly Issuance,Silver
7052,55,Salary account,2020-07-17,Issuance After Transaction,Gold
483,70,Salary account,2020-07-15,Monthly Issuance,Silver
2678,1,Salary account,2020-07-15,Monthly Issuance,Silver
705,35,Salary account,2020-07-14,Monthly Issuance,Silver
2447,38,Salary account,2020-07-14,Monthly Issuance,Silver
2452,1,Savings account,2020-07-14,Monthly Issuance,Silver
469,72,Salary account,2020-07-14,Monthly Issuance,Silver
9560,1,NRI account,2020-07-13,Monthly Issuance,Silver
3985,1,Salary account,2020-07-13,Monthly Issuance,Silver
3833,77,NRI account,2020-07-13,Monthly Issuance,Silver
3428,27,Savings account,2020-07-12,Monthly Issuance,Silver
679,22,Savings account,2020-07-12,Monthly Issuance,Silver
10644,16,NRI account,2020-07-12,Monthly Issuance,Silver
2182,22,Salary account,2020-07-12,Monthly Issuance,Silver
2992,43,NRI account,2020-07-11,Monthly Issuance,Silver
11317,50,Savings account,2020-07-11,Monthly Issuance,Silver
1681,68,NRI account,2020-07-11,Monthly Issuance,Silver
1110,54,Salary account,2020-07-10,Monthly Issuance,Silver
105,21,Savings account,2020-07-10,Monthly Issuance,Silver
1647,1,Savings account,2020-07-09,Monthly Issuance,Silver
2169,57,Salary account,2020-07-09,Monthly Issuance,Silver
258,64,Savings account,2020-07-09,Monthly Issuance,Silver
3906,52,NRI account,2020-07-08,Monthly Issuance,Silver
3529,12,Salary account,2020-07-08,Monthly Issuance,Silver
864,72,NRI account,2020-07-08,Monthly Issuance,Silver
4336,2,Salary account,2020-07-08,Monthly Issuance,Silver
3433,73,NRI account,2020-07-07,Monthly Issuance,Silver
2337,65,NRI account,2020-07-07,Monthly Issuance,Silver
3,5,NRI account,2020-07-07,Monthly Issuance,Silver
2093,64,Savings account,2020-07-07,Monthly Issuance,Silver
2728,52,Salary account,2020-07-06,Weekly Issuance,Diamond
1339,76,Salary account,2020-07-06,Monthly Issuance,Silver
1929,1,NRI account,2020-07-06,Monthly Issuance,Silver
4150,65,Salary account,2020-07-05,Monthly Issuance,Silver
10774,46,Savings account,2020-07-05,Monthly Issuance,Silver
185,32,Savings account,2020-07-04,Monthly Issuance,Silver
7721,13,Salary account,2020-07-03,Monthly Issuance,Silver
3889,16,Savings account,2020-07-03,Monthly Issuance,Silver
3085,66,Savings account,2020-07-03,Monthly Issuance,Silver
768,26,NRI account,2020-07-03,Monthly Issuance,Silver
8919,62,NRI account,2020-07-03,Monthly Issuance,Silver
3154,1,NRI account,2020-07-02,Monthly Issuance,Silver
2081,36,NRI account,2020-07-02,Monthly Issuance,Silver
1255,68,Salary account,2020-07-02,Monthly Issuance,Silver
2208,7,Savings account,2020-07-02,Monthly Issuance,Silver
1284,55,NRI account,2020-07-02,Monthly Issuance,Silver
8153,9,Salary account,2020-07-02,Monthly Issuance,Silver
1346,74,Salary account,2020-07-01,Monthly Issuance,Silver
1514,7,Salary account,2020-07-01,Monthly Issuance,Silver
5196,13,Salary account,2020-06-29,Weekly Issuance,Diamond
2883,77,Salary account,2020-06-29,Monthly Issuance,Silver
2939,5,NRI account,2020-06-28,Monthly Issuance,Silver
3665,28,Savings account,2020-06-28,Monthly Issuance,Silver
3524,66,NRI account,2020-06-28,Monthly Issuance,Silver
4156,42,Savings account,2020-06-27,Monthly Issuance,Silver
1921,42,NRI account,2020-06-27,Monthly Issuance,Silver
2200,1,Salary account,2020-06-26,Monthly Issuance,Silver
3245,45,Salary account,2020-06-26,Monthly Issuance,Silver
2806,53,Salary account,2020-06-26,Monthly Issuance,Silver
556,12,NRI account,2020-06-26,Monthly Issuance,Silver
4301,1,Savings account,2020-06-26,Monthly Issuance,Silver
2443,46,Salary account,2020-06-25,Monthly Issuance,Silver
4309,74,NRI account,2020-06-25,Weekly Issuance,Diamond
3075,71,Salary account,2020-06-25,Monthly Issuance,Silver
3461,8,Salary account,2020-06-23,Monthly Issuance,Silver
672,53,Salary account,2020-06-23,Monthly Issuance,Silver
